day,arm,period,universe,ticks,trades,gross_pnl,modeled_cost,net_pnl,net_pct,equity_start,equity_end,halted,day_stop,session_close
2025-12-10,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.1313,0.0433,0.088,0.3031,43.3559,43.4873,False,False,16:00
2025-12-11,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.0568,0.0435,-0.1003,-0.1306,43.4873,43.4305,False,False,16:00
2025-12-12,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,0,0,0,0,0.0,43.4305,43.4305,False,False,16:00
2025-12-15,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,1,0.004,0.0218,-0.0178,0.0092,43.4305,43.4345,False,False,16:00
2025-12-16,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.6511,0.0438,0.6073,1.499,43.4345,44.0856,False,False,16:00
2025-12-17,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,1,-0.0377,0.022,-0.0597,-0.0855,44.0856,44.0479,False,False,16:00
2025-12-18,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.2193,0.0439,-0.2632,-0.4979,44.0479,43.8286,False,False,16:00
2025-12-19,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.0554,0.044,0.0114,0.1264,43.8286,43.884,False,False,16:00
2025-12-22,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,1,-0.0136,0.022,-0.0356,-0.031,43.884,43.8704,False,False,16:00
2025-12-23,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.4233,0.0442,0.3791,0.9647,43.8704,44.2936,False,False,16:00
2025-12-24,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",7,2,0.0762,0.0444,0.0318,0.1723,44.2936,44.3699,False,False,13:00
2025-12-26,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.1633,0.0443,-0.2076,-0.368,44.3699,44.2066,False,False,16:00
2025-12-29,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,0,0,0,0,0.0,44.2066,44.2066,False,False,16:00
2025-12-30,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.3925,0.044,-0.4365,-0.8881,44.2066,43.814,False,False,16:00
2025-12-31,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,0,0,0,0,0.0,43.814,43.814,False,False,16:00
2026-01-02,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,0,0,0,0,0.0,43.814,43.814,False,False,16:00
2026-01-05,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.1238,0.0437,-0.1675,-0.2826,43.814,43.6902,False,False,16:00
2026-01-06,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.3106,0.0439,0.2667,0.7109,43.6902,44.0008,False,False,16:00
